Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX,Cấp
Hà Nội,1,Ba Đình,001,Phúc Xá,00001,Phường
Hà Nội,1,Ba Đình,001,Trúc Bạch,00004,Phường
Hà Nội,1,Ba Đình,001,Vĩnh Phúc,00006,Phường
Hà Nội,1,Ba Đình,001,Cống Vị,00007,Phường
Hà Nội,1,Ba Đình,001,Liễu Giai,00008,Phường
Hà Nội,1,Ba Đình,001,Nguyễn Trung Trực,00010,Phường
Hà Nội,1,Ba Đình,001,Quán Thánh,00013,Phường
Hà Nội,1,Ba Đình,001,Ngọc Hà,00016,Phường
Hà Nội,1,Ba Đình,001,Điện Biên,00019,Phường
Hà Nội,1,Ba Đình,001,Đội Cấn,00022,Phường
Hà Nội,1,Ba Đình,001,Ngọc Khánh,00025,Phường
Hà Nội,1,Ba Đình,001,Kim Mã,00028,Phường
Hà Nội,1,Ba Đình,001,Giảng Võ,00031,Phường
Hà Nội,1,Ba Đình,001,Thành Công,00034,Phường
Hà Nội,1,Hoàn Kiếm,002,Phúc Tân,00037,Phường
Hà Nội,1,Hoàn Kiếm,002,Đồng Xuân,00040,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Mã,00043,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Buồm,00046,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Đào,00049,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Bồ,00052,Phường
Hà Nội,1,Hoàn Kiếm,002,Cửa Đông,00055,Phường
Hà Nội,1,Hoàn Kiếm,002,Lý Thái Tổ,00058,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Bạc,00061,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Gai,00064,Phường
Hà Nội,1,Hoàn Kiếm,002,Chương Dương Độ,00067,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Trống,00070,Phường
Hà Nội,1,Hoàn Kiếm,002,Cửa Nam,00073,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Bông,00076,Phường
Hà Nội,1,Hoàn Kiếm,002,Tràng Tiền,00079,Phường
Hà Nội,1,Hoàn Kiếm,002,Trần Hưng Đạo,00082,Phường
Hà Nội,1,Hoàn Kiếm,002,Phan Chu Trinh,00085,Phường
Hà Nội,1,Hoàn Kiếm,002,Hàng Bài,00088,Phường
Hà Nội,1,Tây Hồ,003,Phú Thượng,00091,Phường
Hà Nội,1,Tây Hồ,003,Nhật Tân,00094,Phường
