1807,164,2015,159,2016,203,1808,208
2023,350,2156,344,2158,382,2024,388
1630,182,1730,185,1729,225,1629,221
2042,150,2155,145,2157,179,2044,184
1896,697,2160,693,2161,734,1896,738
408,690,707,692,707,732,408,731
1404,491,1550,493,1550,548,1403,546
2051,872,2165,870,2165,908,2051,910
2107,2763,2191,2762,2191,2798,2107,2799
1038,476,1210,473,1211,528,1039,531
2032,1806,2148,1807,2147,1854,2031,1852
373,2511,710,2516,710,2559,373,2554
840,479,1020,479,1021,529,841,530
305,1440,427,1442,426,1485,304,1484
576,633,733,635,733,668,576,667
2047,1009,2161,1008,2162,1053,2047,1054
1814,884,1892,881,1893,919,1815,921
251,627,422,626,422,672,251,673
1691,374,1809,373,1809,404,1691,406
237,858,363,860,362,898,237,896
1234,487,1381,489,1380,533,1234,531
1724,890,1800,888,1801,924,1726,927
1689,444,1809,442,1810,475,1689,476
1689,301,1800,299,1801,331,1690,332
262,1652,394,1653,394,1691,262,1689
2046,951,2165,949,2166,988,2046,990
2108,203,2157,200,2158,232,2109,234
182,1772,297,1773,297,1809,182,1808
222,1120,348,1121,348,1154,222,1154
376,861,491,864,490,910,375,907
1709,1029,1798,1029,1798,1059,1709,1058
1356,1794,1465,1795,1464,1833,1355,1831
318,992,433,995,432,1038,316,1035
521,1652,635,1653,634,1703,520,1702
531,1127,700,1129,699,1164,530,1162
218,1247,315,1248,314,1280,218,1279
1816,960,1931,959,1931,1001,1817,1002
682,2616,784,2617,784,2652,682,2651
784,1663,883,1662,884,1698,784,1699
1380,2486,1496,2486,1496,2529,1380,2528
394,1062,518,1061,518,1101,394,1102
182,1573,300,1574,299,1627,182,1625
1819,1472,1942,1470,1943,1510,1820,1512
529,1189,695,1191,694,1224,528,1223
2003,2508,2105,2508,2105,2539,2003,2539
326,1247,461,1248,461,1289,325,1288
1697,2493,1802,2492,1803,2540,1697,2541
615,942,728,944,727,988,614,986
106,2559,211,2557,212,2597,107,2599
219,1182,347,1183,346,1216,219,1215
295,1504,396,1503,397,1543,296,1545
1905,778,1996,776,1997,822,1907,825
1792,790,1894,789,1894,818,1793,820
99,2513,210,2515,209,2555,98,2553
194,1437,287,1438,287,1474,193,1473
1667,789,1772,788,1772,823,1667,824
2108,269,2159,267,2160,300,2109,302
1829,1680,1946,1679,1946,1722,1829,1723
275,2463,368,2466,366,2507,274,2504
917,2467,1041,2468,1041,2515,917,2514
456,1587,569,1586,570,1622,457,1623
744,947,846,949,845,992,743,990
1163,2477,1250,2480,1249,2519,1162,2517
2080,1686,2177,1687,2177,1722,2079,1722
465,2614,568,2613,568,2645,466,2646
1808,709,1880,708,1881,742,1808,743
859,1783,943,1785,942,1822,858,1821
1166,2624,1266,2625,1265,2667,1165,2666
425,2564,518,2562,519,2597,425,2599
857,952,939,951,940,987,858,988
2066,1474,2165,1473,2166,1506,2067,1508
